Year,Month,Day,Hour,Minute,GHI,Temperature,Solar Zenith Angle,Surface Albedo,DHI,DNI
2018,3,6,0,30,0,11.3,114.1,0.2,0,0
2018,3,6,1,30,0,10.9,101.07,0.2,0,0
2018,3,6,2,30,0,10.8,87.8,0.2,20,90
2018,3,6,3,30,0,10.6,75.19,0.2,70,498
2018,3,6,4,30,0,10.9,62.94,0.2,150,509
2018,3,6,5,30,23,12.9,51.67,0.2,154,725
2018,3,6,6,30,197,16.2,42.27,0.2,310,448
2018,3,6,7,30,381,19.2,36.29,0.2,352,444
2018,3,6,8,30,604,21.3,35.52,0.2,424,228
2018,3,6,9,30,641,22.6,40.26,0.2,313,497
2018,3,6,10,30,709,23.5,48.93,0.2,291,378
2018,3,6,11,30,610,24.1,59.81,0.2,96,838
2018,3,6,12,30,692,24.4,71.85,0.2,74,690
2018,3,6,13,30,539,24.2,84.45,0.2,35,301
2018,3,6,14,30,517,23.5,97.55,0.2,0,0
2018,3,6,15,30,289,21.2,110.59,0.2,0,0
2018,3,6,16,30,64,18.1,123.44,0.2,0,0
2018,3,6,17,30,0,16,135.75,0.2,0,0
2018,3,6,18,30,0,14.6,146.7,0.2,0,0
2018,3,6,19,30,0,13.6,154.37,0.2,0,0
2018,3,6,20,30,0,12.8,155.38,0.2,0,0
2018,3,6,21,30,0,12.2,149.07,0.2,0,0
2018,3,6,22,30,0,11.7,138.7,0.2,0,0
2018,3,6,23,30,0,11.3,126.63,0.2,0,0
2018,3,7,0,30,0,10.8,113.86,0.2,0,0
2018,3,7,1,30,0,10.3,100.83,0.2,0,0
2018,3,7,2,30,0,10.1,87.57,0.2,19,105
2018,3,7,3,30,0,9.5,74.94,0.2,70,605
2018,3,7,4,30,0,9.9,62.66,0.2,95,797
2018,3,7,5,30,23,12.9,51.36,0.2,112,886
2018,3,7,6,30,227,17.1,41.91,0.2,124,929
2018,3,7,7,30,461,20.2,35.9,0.2,134,943
2018,3,7,8,30,665,22.4,35.14,0.2,141,930
2018,3,7,9,30,815,23.7,39.95,0.2,143,900
2018,3,7,10,30,898,24.5,48.68,0.2,140,837
2018,3,7,11,30,901,24.9,59.61,0.2,204,383
2018,3,7,12,30,833,25,71.69,0.2,93,493
2018,3,7,13,30,692,24.6,84.31,0.2,42,150
2018,3,7,14,30,398,23.7,97.41,0.2,0,0
2018,3,7,15,30,247,21.6,110.45,0.2,0,0
2018,3,7,16,30,57,18.8,123.29,0.2,0,0
2018,3,7,17,30,0,17.2,135.56,0.2,0,0
2018,3,7,18,30,0,16.4,146.45,0.2,0,0
2018,3,7,19,30,0,15.3,154.02,0.2,0,0
2018,3,7,20,30,0,14.1,154.99,0.2,0,0
2018,3,7,21,30,0,13.2,148.72,0.2,0,0
2018,3,7,22,30,0,12.5,138.4,0.2,0,0
2018,3,7,23,30,0,11.9,126.36,0.2,0,0
2018,3,8,0,30,0,11.4,113.61,0.2,0,0
2018,3,8,1,30,0,11,100.58,0.2,0,0
2018,3,8,2,30,0,10.9,87.33,0.2,20,77
