?????,?????
2018-03-06,0.004556
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,2.744243
2018-03-13,24.524198
2018-03-14,36.46707
2018-03-15,31.341865
2018-03-16,45.065366
2018-03-17,33.073896
2018-03-18,48.324824
2018-03-19,23.433086
2018-03-20,60.740866
2018-03-21,63.093111
2018-03-22,63.512223
2018-03-23,61.229103
2018-03-24,53.54844
2018-03-25,59.735081
2018-03-26,55.386877
2018-03-27,58.791644
2018-03-28,55.367917
2018-03-29,58.375522
2018-03-30,53.156833
2018-03-31,55.333468
2018-04-01,52.890535
2018-04-02,50.741564
2018-04-03,42.842536
2018-04-04,51.142065
2018-04-05,49.077369
2018-04-06,52.285374
2018-04-07,42.245253
2018-04-08,47.769279
2018-04-09,38.135626
2018-04-10,46.254518
2018-04-11,55.889329
2018-04-12,36.558385
2018-04-13,61.899831
2018-04-14,55.499615
2018-04-15,56.368964
2018-04-16,52.500044
2018-04-17,51.936873
2018-04-18,53.732965
2018-04-19,42.901145
2018-04-20,66.426775
2018-04-21,64.032952
2018-04-22,57.823887
2018-04-23,55.710589
2018-04-24,56.808782
2018-04-25,53.397131
2018-04-26,51.294039
2018-04-27,53.760235
2018-04-28,47.619709
2018-04-29,56.709099
2018-04-30,54.095268
2018-05-01,57.581967
2018-05-02,58.205094
2018-05-03,53.383293
2018-05-04,43.012027
2018-05-05,51.28006
2018-05-06,48.776743
2018-05-07,59.612372
2018-05-08,48.406796
2018-05-09,50.465587
2018-05-10,58.464254
2018-05-11,50.655529
2018-05-12,27.531259
2018-05-13,39.763027
2018-05-14,47.419294
2018-05-15,36.417554
2018-05-16,59.518226
2018-05-17,53.296942
2018-05-18,51.908235
2018-05-19,64.067475
2018-05-20,63.403333
2018-05-21,58.895959
2018-05-22,52.759302
2018-05-23,58.937793
2018-05-24,51.590346
2018-05-25,47.943052
2018-05-26,48.88307
2018-05-27,50.656348
2018-05-28,49.133083
2018-05-29,53.392165
2018-05-30,53.739592
2018-05-31,42.772789
2018-06-01,48.93886
2018-06-02,46.165279
2018-06-03,54.259011
2018-06-04,55.092389
2018-06-05,57.022664
2018-06-06,53.85157
2018-06-07,51.933862
2018-06-08,57.985576
2018-06-09,57.630487
2018-06-10,54.506699
2018-06-11,42.333731
2018-06-12,51.546204
2018-06-13,50.42864
2018-06-14,51.21219
2018-06-15,57.054121
2018-06-16,56.643824
2018-06-17,55.865926
2018-06-18,58.141052
2018-06-19,57.526133
2018-06-20,55.993954
2018-06-21,57.881244
2018-06-22,57.255947
2018-06-23,56.727183
2018-06-24,57.191864
2018-06-25,58.222961
2018-06-26,58.442243
2018-06-27,58.10287
2018-06-28,60.426437
2018-06-29,59.050512
2018-06-30,58.314041
2018-07-01,58.132743
2018-07-02,55.210016
2018-07-03,49.720025
2018-07-04,60.220936
2018-07-05,49.786846
2018-07-06,59.654817
2018-07-07,60.011643
2018-07-08,59.76169
2018-07-09,60.557924
2018-07-10,54.854828
2018-07-11,56.533589
2018-07-12,57.536357
2018-07-13,57.573127
2018-07-14,57.286482
2018-07-15,58.52259
2018-07-16,56.390449
2018-07-17,51.378844
2018-07-18,51.583698
2018-07-19,41.839611
2018-07-20,59.846903
2018-07-21,57.72874
2018-07-22,48.526828
2018-07-23,47.227152
2018-07-24,40.469992
2018-07-25,43.252408
2018-07-26,54.80596
2018-07-27,58.88442
2018-07-28,61.377072
2018-07-29,60.997736
2018-07-30,61.67702
2018-07-31,62.006812
2018-08-01,60.962932
2018-08-02,60.799964
2018-08-03,58.395628
2018-08-04,59.021424
2018-08-05,60.155476
2018-08-06,59.903092
2018-08-07,56.847024
2018-08-08,55.294608
2018-08-09,56.322676
2018-08-10,58.5351
2018-08-11,59.372512
2018-08-12,50.598484
2018-08-13,58.682988
2018-08-14,60.76796
2018-08-15,60.552628
2018-08-16,59.743376
2018-08-17,59.93912
2018-08-18,60.9686
2018-08-19,61.884704
2018-08-20,61.440272
2018-08-21,57.639232
2018-08-22,61.86082
2018-08-23,63.096928
2018-08-24,61.989236
2018-08-25,63.741196
2018-08-26,62.163948
2018-08-27,64.36746
2018-08-28,62.938504
2018-08-29,60.626112
2018-08-30,61.867868
2018-08-31,64.236184
2018-09-01,62.525012
2018-09-02,62.393524
2018-09-03,62.355212
2018-09-04,64.26618
2018-09-05,62.02548
2018-09-06,61.346176
2018-09-07,62.314964
2018-09-08,61.963508
2018-09-09,61.267244
2018-09-10,61.213952
2018-09-11,60.016668
2018-09-12,62.221416
2018-09-13,58.359328
2018-09-14,61.06274
2018-09-15,63.18648
2018-09-16,63.639176
2018-09-17,62.246012
2018-09-18,60.950304
2018-09-19,60.9351
2018-09-20,58.813172
2018-09-21,57.241948
2018-09-22,45.433168
2018-09-23,53.404908
2018-09-24,60.190864
2018-09-25,49.427412
2018-09-26,42.114848
2018-09-27,61.192868
2018-09-28,62.52898
2018-09-29,63.394632
2018-09-30,63.015044
2018-10-01,62.628172
2018-10-02,61.850088
2018-10-03,62.246292
2018-10-04,59.510604
2018-10-05,46.97092
2018-10-06,48.660988
2018-10-07,38.309988
2018-10-08,56.89724
2018-10-09,60.992924
2018-10-10,60.852768
2018-10-11,60.9186
2018-10-12,58.393416
2018-10-13,56.241116
2018-10-14,55.15588
2018-10-15,54.317172
2018-10-16,20.558176
2018-10-17,60.799668
2018-10-18,50.589628
2018-10-19,54.449652
2018-10-20,53.418692
2018-10-21,47.235404
2018-10-22,33.324732
2018-10-23,39.834284
2018-10-24,28.761148
2018-10-25,48.009564
2018-10-26,55.262096
2018-10-27,55.668316
2018-10-28,48.600896
2018-10-29,24.679724
2018-10-30,36.864924
2018-10-31,31.66542
2018-11-01,14.170176
2018-11-02,30.644604
2018-11-03,14.840944
2018-11-04,54.270708
2018-11-05,56.294188
2018-11-06,55.778524
2018-11-07,42.089844
2018-11-08,54.725588
2018-11-09,50.789228
2018-11-10,28.154596
2018-11-11,44.378996
2018-11-12,46.493368
2018-11-13,36.576876
2018-11-14,52.42688
2018-11-15,48.570456
2018-11-16,40.898924
2018-11-17,42.015628
2018-11-18,38.322228
2018-11-19,51.06934
2018-11-20,46.042744
2018-11-21,38.303964
2018-11-22,52.345948
2018-11-23,36.20378
2018-11-24,25.941132
